apiservices                      apiregistration.k8s.io/v1beta1
certificatesigningrequests       certificates.k8s.io/v1beta1
clusterrolebindings              rbac.authorization.k8s.io/v1beta1
clusterroles                     rbac.authorization.k8s.io/v1beta1
csidrivers                       storage.k8s.io/v1beta1
csinodes                         storage.k8s.io/v1beta1
customresourcedefinitions        apiextensions.k8s.io/v1beta1
ingressclasses                   networking.k8s.io/v1beta1
ingresses                        extensions/v1beta1
ingresses                        networking.k8s.io/v1beta1
leases                           coordination.k8s.io/v1beta1
localsubjectaccessreviews        authorization.k8s.io/v1beta1
mutatingwebhookconfigurations    admissionregistration.k8s.io/v1beta1
priorityclasses                  scheduling.k8s.io/v1beta1
rolebindings                     rbac.authorization.k8s.io/v1beta1
roles                            rbac.authorization.k8s.io/v1beta1
selfsubjectaccessreviews         authorization.k8s.io/v1beta1
selfsubjectrulesreviews          authorization.k8s.io/v1beta1
storageclasses                   storage.k8s.io/v1beta1
subjectaccessreviews             authorization.k8s.io/v1beta1
tokenreviews                     authentication.k8s.io/v1beta1
validatingwebhookconfigurations  admissionregistration.k8s.io/v1beta1
volumeattachments                storage.k8s.io/v1beta1
